iteration,init_ms,cert_verify_ms,sign_ms,verify_ms,identify_ms,end_to_end_ms,cert_valid,verify_valid,identified_owner
1,0.563200,0.027000,0.216600,0.142000,0.015600,0.977000,true,true,Owner-1
2,0.462500,2.046900,0.394800,0.285400,0.021400,3.232300,true,true,Owner-1
3,0.600400,0.125800,0.271700,0.367000,0.025100,1.407400,true,true,Owner-1
4,0.442700,0.016100,0.391000,0.663200,0.016700,1.548400,true,true,Owner-1
5,0.835900,0.029100,0.248100,0.119500,0.031400,1.310600,true,true,Owner-1
6,0.378300,0.011000,0.180400,0.085200,0.212300,0.882000,true,true,Owner-1
7,0.324200,0.015600,0.180200,0.086000,0.037000,0.650600,true,true,Owner-1
8,0.319100,0.017200,0.136000,0.084800,0.007100,0.570800,true,true,Owner-1
9,0.310800,0.008800,0.142300,0.086700,0.006900,0.562700,true,true,Owner-1
10,0.326100,0.011300,0.139700,0.082300,0.011200,0.577000,true,true,Owner-1
11,0.311200,0.019100,0.147100,0.108100,0.010900,0.603000,true,true,Owner-1
12,0.304600,0.013200,0.138100,0.079500,0.010400,0.556600,true,true,Owner-1
13,0.305600,0.010000,0.132600,0.082700,0.006800,0.549600,true,true,Owner-1
14,0.299400,0.014900,0.124000,0.161300,0.011000,0.618000,true,true,Owner-1
15,0.349400,0.007800,2.021100,0.096800,0.006000,2.490300,true,true,Owner-1
16,0.918000,0.027800,0.244300,0.228100,0.012300,1.454500,true,true,Owner-1
17,0.499700,0.010500,0.197300,0.111700,0.007300,0.838600,true,true,Owner-1
18,0.431700,0.009800,0.160300,0.100100,0.009800,0.720800,true,true,Owner-1
19,1.118500,0.016600,0.222000,0.088300,0.009000,1.467200,true,true,Owner-1
20,0.376500,0.010500,0.165200,0.078100,0.008600,0.647000,true,true,Owner-1
