Iteration,Key Generation,Registration Manager Certificate Issuance,Certificate Aggregation,Certificate Verification,Signature Generation,Signature Verification,Identity Revelation,CertValid,SignatureValid,IdentifiedOwner
1,0.101100,0.059500,0.016100,0.010400,0.113300,0.221900,0.006900,true,true,Owner-1
2,0.144100,0.101600,0.008700,0.028900,0.238500,0.139000,0.016300,true,true,Owner-1
3,1.354700,0.081600,0.005600,0.036700,0.135000,0.207800,0.009900,true,true,Owner-1
4,0.120300,0.077300,0.005400,0.009900,0.262700,0.121000,0.015600,true,true,Owner-1
5,0.316300,0.222000,0.015700,0.019100,1.235000,0.164200,0.027400,true,true,Owner-1
6,0.597900,0.135600,0.011200,0.013900,0.178600,0.092800,0.309300,true,true,Owner-1
7,0.295500,0.093300,0.007600,0.008200,0.172400,0.115900,0.052200,true,true,Owner-1
8,0.107100,0.061000,0.004800,0.006700,0.090000,0.048800,0.004400,true,true,Owner-1
9,0.135300,0.074200,0.003700,0.006600,0.086900,0.061500,0.006500,true,true,Owner-1
10,0.089300,0.076300,0.003500,0.007600,0.085500,0.052800,0.007700,true,true,Owner-1
11,0.126200,0.059200,0.003900,0.006200,0.080600,0.048300,0.003500,true,true,Owner-1
12,0.087700,0.068000,0.003300,0.004900,0.090900,0.049800,0.007100,true,true,Owner-1
13,0.102300,0.060600,0.003700,0.004200,0.091300,0.045300,0.003200,true,true,Owner-1
14,0.082200,0.058300,0.002900,0.006900,0.072600,0.052300,0.006700,true,true,Owner-1
15,0.098200,0.063200,0.005700,0.007800,0.089200,0.048700,0.007700,true,true,Owner-1
16,0.070200,0.061000,0.915000,0.007400,0.101100,0.044100,0.004300,true,true,Owner-1
17,0.106400,0.053600,0.003500,0.004100,0.080800,0.043200,0.003900,true,true,Owner-1
18,0.061100,0.059200,0.002900,0.004600,0.065800,0.040000,0.003600,true,true,Owner-1
19,0.082400,0.065000,0.003600,0.005400,0.085200,0.047400,0.004800,true,true,Owner-1
20,0.077100,0.062900,0.003400,0.004600,0.080300,0.047100,0.004100,true,true,Owner-1
